Pipeline: Blob/Hu moment
Accuracy: 23/24  (95.8%)
Avg time: 3.7 ms/crop

Key                    Expected   Detected   OK       ms
----------------------------------------------------------
gm_250801_01           3142       3142       ✓       4.2
gm_250801_02           4068       4068       ✓       3.7
gm_250801_03           3939       3939       ✓       3.6
gm_250801_04           3094       3094       ✓       3.7
gm_250801_05           3860       3860       ✓       3.5
gm_250801_06           3013       3013       ✓       3.6
gm_250801_07           4073       4073       ✓       3.9
gm_250801_08           3094       3094       ✓       3.5
gm_250730_01           4073       4073       ✓       3.5
gm_250730_02           3080       3080       ✓       3.7
gm_250730_03           3089       3089       ✓       3.3
gm_250730_04           3206       3206       ✓       3.5
gm_250818_01           3841       3841       ✓       3.5
gm_250818_02           3839       3839       ✓       3.5
gm_250818_03           4231       4231       ✓       3.8
gm_250818_04           3566       3566       ✓       3.5
gm_250818_05           3762       3762       ✓       3.7
gm_250818_06           3735       3735       ✓       3.5
gm_250818_07           3843       3843       ✓       3.5
gm_250818_08           3785       3785       ✓       3.7
gm_250818_09           3779       3779       ✓       3.8
gm_250818_10           3745       3725       ✗       3.8
gm_250818_11           4065       4065       ✓       4.3
gm_250818_12           3620       3620       ✓       3.9
