Score Detection Pipeline Comparison
==========================================================
Metric                            Tesseract      Blob/Hu
----------------------------------------------------------
Accuracy                       24/        24 23/        24
Accuracy %                           100.0%        95.8%
Avg ms/crop                          221.7          3.7

Key                    Exp     Tess     Blob     T?  B?
----------------------------------------------------------
gm_250801_01           3142    3142     3142     ✓   ✓
gm_250801_02           4068    4068     4068     ✓   ✓
gm_250801_03           3939    3939     3939     ✓   ✓
gm_250801_04           3094    3094     3094     ✓   ✓
gm_250801_05           3860    3860     3860     ✓   ✓
gm_250801_06           3013    3013     3013     ✓   ✓
gm_250801_07           4073    4073     4073     ✓   ✓
gm_250801_08           3094    3094     3094     ✓   ✓
gm_250730_01           4073    4073     4073     ✓   ✓
gm_250730_02           3080    3080     3080     ✓   ✓
gm_250730_03           3089    3089     3089     ✓   ✓
gm_250730_04           3206    3206     3206     ✓   ✓
gm_250818_01           3841    3841     3841     ✓   ✓
gm_250818_02           3839    3839     3839     ✓   ✓
gm_250818_03           4231    4231     4231     ✓   ✓
gm_250818_04           3566    3566     3566     ✓   ✓
gm_250818_05           3762    3762     3762     ✓   ✓
gm_250818_06           3735    3735     3735     ✓   ✓
gm_250818_07           3843    3843     3843     ✓   ✓
gm_250818_08           3785    3785     3785     ✓   ✓
gm_250818_09           3779    3779     3779     ✓   ✓
gm_250818_10           3745    3745     3725     ✓   ✗
gm_250818_11           4065    4065     4065     ✓   ✓
gm_250818_12           3620    3620     3620     ✓   ✓
